Alpha,20.42746667,-56.735
Alpha,5.6608,-34.07416667
Gamma,11.89716667,53.69471667
Gamma,11.89716667,53.69471667
Gamma,15.34546667,71.83388333
28,3.819783333,24.13666667
Alpha,2.5302,89.26416667
Beta,7.75525,28.02611667
Gamma,12.69433333,-1.44945
Alpha,7.655033333,5.225
Eta,6.24795,22.50666667
Alpha,14.66003333,-60.83555
Epsilon,14.74978333,27.07416667
Delta,3.7208,-9.763333333
Mu,9.879383333,26.00695
Alpha,17.24413333,14.39028333
Alpha,17.58225,12.56
Beta,17.50721667,52.30138333
Gamma,8.158883333,-47.33666667
Alpha,10.13953333,11.96721667
Beta,5.2423,-8.201666667
Alpha,14.6583,-60.83528333
Alpha,2.034116667,2.763616667
Beta,20.62583333,14.59528333
Delta,1.430283333,60.23528333
Alpha,19.39811667,-40.61611667
Eta,17.17296667,-15.72471667
Gamma,22.36095,-1.387216667
Mu,22.83338333,24.60166667
Alpha,22.09638333,0.319716667
Beta,21.52596667,-5.571116667
Gamma,20.37046667,40.25666667
Kappa,5.79595,-9.669716667
Delta,17.25053333,24.83916667
Beta,23.06291667,28.08278333
Alpha,0.675133333,56.53721667
Iota,9.284833333,-59.27528333
Lambda,17.56013333,-37.10388333
Beta,18.83466667,33.36278333
Beta,1.910666667,20.80805
Alpha,6.752466667,-16.71611667
Alpha,0.1398,29.09055
Delta,22.91083333,-15.82083333
Alpha,13.41988333,-11.16138333
21,3.765116667,24.55471667
Beta,20.62583333,14.59528333
Gamma,18.98238333,32.68945
Iota,14.26691667,-6.00055
Kappa,9.060416667,47.15666667
Iota,8.986783333,48.04166667
Mu,10.37213333,41.49945
Lambda,10.28495,42.91445
Gamma,19.771,10.61333333
Beta,8.27525,9.18555
19,3.753466667,24.46721667
Mu,8.129383333,21.58166667
Mu,6.382666667,22.51361667
Alpha,14.07313333,64.37583333
Gamma,0.945133333,60.71666667
Epsilon,19.80288333,70.26778333
Alpha,15.7378,6.42555
Alpha,18.61563333,38.78361667
Epsilon,13.03628333,10.95916667
Delta,7.335383333,21.98221667
Beta,5.849333333,-35.76833333
Delta,7.139866667,-26.39333333
Epsilon,16.30536667,-4.6925
Delta,16.23908333,-3.69445
Delta,17.53691667,86.58638333
Epsilon,13.03628333,10.95916667
Gamma,3.967166667,-13.50861667
Beta,11.84491667,1.764716667
Delta,11.23513333,20.52361667
Alpha,14.84796667,-16.04166667
Gamma,15.59211667,-14.78945
Beta,15.28345,-9.38305
