CMA,theta,6.903333,-12.0500,4.06,,99.2095,-23.9097,,-75.7803,18.2632
CMA,gamma,7.062500,-15.6333,4.11,,101.5730,-29.0057,,-71.5081,20.4202
CMA,iota,6.935833,-17.0500,4.38,,103.8532,-25.9657,,-70.7715,17.6945
CMA,alpha,6.752500,-16.7167,-1.47,,104.6525,-20.8879,,-71.8658,14.3439
CMA,nu^3,6.631667,-18.2333,4.41,,106.7568,-17.8171,,-70.7876,11.8140
CMA,nu,6.611389,-19.2500,3.94,,107.8535,-17.4121,,-69.8456,11.2760
CMA,beta,6.378333,-17.9500,1.98,,107.4209,-10.6747,,-71.6969,7.1247
CMA,,,,,,,,,,
CMA,alpha,6.752500,-16.7167,-1.47,,104.6525,-20.8879,,-71.8658,14.3439
CMA,omicron^2,7.050556,-23.8333,3.03,,109.5550,-30.9149,,-63.6798,17.9696
CMA,delta,7.140000,-26.4000,1.84,,111.2543,-34.2263,,-60.7884,18.7010
CMA,epsilon,6.977222,-28.9667,1.50,,115.0945,-30.1050,,-59.0468,15.4448
CMA,omicron,6.902222,-24.2000,3.86,,111.0291,-26.7241,,-63.9730,15.3979
CMA,nu,6.611389,-19.2500,3.94,,107.8535,-17.4121,,-69.8456,11.2760
CMA,xi,6.530833,-23.4167,4.34,,112.3232,-15.7110,,-65.9414,9.2235
CMA,,,,,,,,,,
CMA,delta,7.140000,-26.4000,1.84,,111.2543,-34.2263,,-60.7884,18.7010
CMA,omega,7.246667,-26.7667,3.82,,110.6026,-37.4369,,-59.8953,20.2734
CMA,eta,7.401389,-29.3000,2.44,,111.3606,-42.7938,,-56.6604,21.7735
CMA,,,,,,,,,,
CMA,epsilon,6.977222,-28.9667,1.50,,115.0945,-30.1050,,-59.0468,15.4448
CMA,zeta,6.338333,-30.0667,3.02,,119.5960,-10.6211,,-59.6984,5.3017
CMA,,,,,,,,,,
CMA,epsilon,6.977222,-28.9667,1.50,,115.0945,-30.1050,,-59.0468,15.4448
CMA,kappa,6.830556,-32.5167,3.94,,119.6318,-26.4305,,-56.1298,12.4009
CMA,,,,,,,,,,
MON,15,6.682778,9.8833,4.65,,78.8401,-14.2448,,-98.2918,17.7593
MON,13,6.548333,7.3333,4.48,,81.8163,-11.8264,,-96.3322,13.9246
MON,8,6.396111,4.6000,4.44,,84.9412,-8.8403,,-94.0918,9.7926
MON,18,6.797778,2.4000,4.46,,85.6963,-18.1632,,-90.3920,19.1585
MON,delta,7.197500,-0.5000,4.14,,85.6133,-27.7555,,-85.6133,27.7555
MON,28,8.020278,-1.4000,4.68,,78.9110,-46.1196,,-76.4936,44.7067
MON,zeta,8.143333,-2.9833,4.34,,78.7251,-49.4799,,-73.6733,46.3048
MON,,,,,,,,,,
MON,13,6.548333,7.3333,4.48,,81.8163,-11.8264,,-96.3322,13.9246
MON,18,6.797778,2.4000,4.46,,85.6963,-18.1632,,-90.3920,19.1585
MON,,,,,,,,,,
MON,28,8.020278,-1.4000,4.68,,78.9110,-46.1196,,-76.4936,44.7067
MON,alpha,7.687500,-9.5500,3.93,,89.9921,-42.5631,,-72.7259,34.3968
MON,,,,,,,,,,
MON,delta,7.197500,-0.5000,4.14,,85.6133,-27.7555,,-85.6133,27.7555
MON,beta,6.480278,-7.0333,4.60,,96.2673,-12.1685,,-82.3117,10.4045
MON,gamma,6.247778,-6.2833,3.97,,96.0808,-6.2413,,-83.5406,5.4267
MON,,,,,,,,,,
LEP,mu,5.215556,-16.2000,3.32,,103.9683,21.6570,,-72.2492,-15.0498
LEP,alpha,5.545556,-17.8333,2.58,,107.0711,12.7990,,-71.6565,-8.5657
LEP,zeta,5.782500,-14.8333,3.54,,104.6634,5.9661,,-75.0448,-4.2778
LEP,eta,5.940000,-14.1667,3.71,,104.1538,1.6362,,-75.8240,-1.1911
LEP,theta,6.102778,-14.9500,4.67,,104.9120,-2.8236,,-75.0228,2.0191
LEP,delta,5.855278,-20.8667,3.78,,110.7871,4.1995,,-69.0837,-2.6187
LEP,gamma,5.741111,-22.4500,3.60,,112.1918,7.6157,,-67.3949,-4.5748
LEP,beta,5.470833,-20.7500,2.84,,109.6889,15.2938,,-68.5865,-9.5629
LEP,alpha,5.545556,-17.8333,2.58,,107.0711,12.7990,,-71.6565,-8.5657
LEP,,,,,,,,,,
LEP,beta,5.470833,-20.7500,2.84,,109.6889,15.2938,,-68.5865,-9.5629
LEP,epsilon,5.091111,-22.3667,3.19,,109.2006,26.4857,,-65.7277,-15.9417
LEP,mu,5.215556,-16.2000,3.32,,103.9683,21.6570,,-72.2492,-15.0498
LEP,,,,,,,,,,
LEP,mu,5.215556,-16.2000,3.32,,103.9683,21.6570,,-72.2492,-15.0498
LEP,lambda,5.326111,-13.1833,4.29,,101.5817,18.1097,,-75.6243,-13.4821
LEP,,,,,,,,,,
LEP,mu,5.215556,-16.2000,3.32,,103.9683,21.6570,,-72.2492,-15.0498
